"Item","Value"
"Project working directory","/Users/thisisazaro/Library/Mobile Documents/com~apple~CloudDocs/REPETIT/STUDY_Students/Anna Mironenco/Common_Risk_Factors_in_Cryptocurrency"
"R version","R version 4.5.2 (2025-10-31)"
"Total expected outputs","53"
"Total existing outputs","49"
"Total missing outputs","4"
"Processed data files found","12"
"Table CSV files found","25"
"Table HTML files found","0"
"Figure files found","12"
