"Coin","Mean","Median","SD","Skewness","Kurtosis"
"ACT",-0.0020214043634793,-0.000942606642555721,0.0952977370701028,1.81515334392266,43.8563267408924
"ADA",0.0000573829891639701,-0.00024411801155356,0.0539478237183879,-0.00624586446952343,9.05969216904936
"ADX",-0.00105022613548598,-0.000562989347374935,0.0710835652408613,1.30429926649924,22.2376125488274
"AE",-0.00145472281200787,-0.00272963565327334,0.0621276032391838,-0.116039167034596,13.4086206948702
"AION",-0.00314087357590951,-0.00197048368129705,0.154833169656894,-1.63860603556469,150.533406281161
"AISCII",-0.0088842848915034,-0.0192331471434189,0.155100615418927,1.59565891097204,10.8252927573757
"AMB",-0.00181215891193522,0.000566110588218015,0.0816756069630523,0.57156853391783,15.9822532470935
"ANT",-0.0000178087765221892,0.000760463285277007,0.100273972078866,-3.54952462741459,77.273830881836
"ARDR",-0.00113090454013041,0.00107668868108644,0.0594101176368741,-0.0110488793582932,12.4989832601162
"ARGO",-0.00582246127892959,0,0.0942367621071716,0.874846307481044,9.91940015336873
"ARK",-0.00105203641177162,-0.000765270038825236,0.0667059576007863,-0.21305373668006,12.7900402160921
"AST",-0.000670725267060588,-0.00190231662590472,0.0851197404115911,0.910005939483215,13.9852152012884
"ATM",-0.000444551647466905,-0.000986896629395774,0.064719020701167,-0.764857446011313,44.0645806596933
"BAT",-0.000280222376091789,0.000499344614953612,0.0581368946498306,-0.162787174742592,9.66650276623465
"BAY",-0.0206495970770403,-0.00439213477251682,0.125498246719466,-6.44002619237691,61.3022121366236
"BCH",-0.000674517292026876,-0.000798530070354456,0.0565103724553874,0.00471952390102855,16.4826791728269
"BCN",-0.002042656989372,0,0.144605406699548,0.714005805364965,52.6089777089172
"BLOCK",-0.00301927514417159,-0.00247928757355247,0.117696286059755,-0.083604168808287,19.6989016397646
"BNB",0.00173025027274632,0.00104158455532142,0.0502974304248912,0.29418646010444,23.1893388814169
"BNT",-0.000822028976569024,-0.000416420796984166,0.0562559949988417,-0.0926324666044037,14.2251532585266
"BOMB",-0.00239212338112263,-0.00549173325481222,0.176300201091404,0.566626965838081,25.6019704612093
"BRD",-0.00247741106499815,0.000371124169885484,0.19064558078977,3.9794096714863,84.3290575457817
"BTC",0.000752322806831385,0.000829802343631045,0.0356667344642806,-0.97952602125624,17.0556662816735
"BTCD",0.055973543065691,-0.000013463906703421,0.892406731721355,14.8563851347182,222.523717017284
"BTG",-0.00132055079514726,-0.00138186900061997,0.0592890737651835,0.846747778347021,22.3940719546654
"BTM",-0.00176800137702167,-0.000244199391797512,0.0619512385631822,-0.525513881613932,17.5957713916519
"BTS",-0.00236185322016398,-0.00147722873301511,0.0630188311927054,0.590664905264899,22.3561495420144
"BTX",-0.00212991375266224,-0.00367951314762865,0.114287805648163,0.566707610761066,11.5983895878318
"BULEI",-0.0232090414919177,0,0.211457979261373,1.02824073026343,12.7911138954503
