"Variable","Mean","Median","SD","t_Stat","Skewness","Kurtosis","N"
"weekly_return_meme",-0.00158082056945019,-0.0021663603911203,0.0251238300117611,-1.00870295624968,-3.33515933409292,41.8963665656372,257
"weekly_return_conventional",0.000057449800328516,0.00018254984521544,0.010960715210277,0.0840264840418584,-0.590394413102006,6.47902981233326,257
"weekly_market_return",0.0000658690381412239,0.000202381863573161,0.0109642423840556,0.0963095282342642,-0.585759223782603,6.47064401146243,257
"SP500",4996.02231343983,4578.95,950.857333689781,84.231700913633,0.608427446516138,2.09966741891421,257
"DowJones",37921.810085826,35675.45234375,5171.36706985001,117.557476524103,0.630829073123012,2.25271205723728,257
"TreasuryYield10Y",3.51432723665052,3.97800002098084,1.05894949557504,53.202680305508,-1.02405390158861,2.61081863258033,257
"GoldFutures",2408.86578092068,1987.45998535156,842.293124218967,45.8475263189088,1.5624474727984,4.67539487900101,257
"FearGreed",46.5876412821938,49,20.6911028118867,36.095548512968,-0.0422640874922666,1.73135033715967,257
"log_hash_rate",19.8140638261258,19.8619732334528,0.692181011926688,458.902515007325,-0.225374656495402,1.80612530926772,257
