"Currency","Frequency","Mean","SD","t_Stat","Sharpe","Skewness","Kurtosis","Positive","N"
"ACT","Daily",-0.20214043634793,9.52977370701027,-1.07238575285157,-0.0212114623665441,1.81515334392266,43.8563267408924,46.5179968701095,2556
"ACT","Monthly",-6.15084470601559,41.3814136851052,-1.3622884741311,-0.148637858358849,1.07815062598878,5.80415349675695,41.6666666666667,84
"ACT","Weekly",-3.46392617326122,29.2935934113077,-0.719278104211664,-0.118248591923315,1.09386777350991,4.99370441282581,45.945945945946,37
"ADA","Daily",0.00573829891639701,5.39478237183879,0.0537761445561367,0.00106367570012674,-0.00624586446952343,9.05969216904936,49.7261345852895,2556
"ADA","Monthly",0.174608238456096,35.5415780356357,0.0450264458649353,0.00491278801073565,1.24518141046237,5.2937253623761,38.0952380952381,84
"ADA","Weekly",0.0400740219407423,14.4614104599414,0.0530142743698419,0.00277110051275764,0.260711033427708,5.61129068148838,46.448087431694,366
"ADX","Daily",-0.105022613548598,7.10835652408613,-0.746954322000339,-0.0147745281476438,1.30429926649924,22.2376125488274,49.491392801252,2556
"ADX","Monthly",-3.19568809797878,33.132580597282,-0.883992876042897,-0.0964515301968641,-0.0364604245006389,3.34861492002139,48.8095238095238,84
"ADX","Weekly",-0.0720786120812937,15.9135788511699,-0.0776626526521013,-0.00452937788258702,0.556993284249622,6.81688793579232,48.6394557823129,294
"AE","Daily",-0.145472281200787,6.21276032391838,-1.18379383591322,-0.0234150801924125,-0.116039167034596,13.4086206948702,46.4397496087637,2556
"AE","Monthly",-4.42651369939539,35.4613261079065,-1.1440538929939,-0.124826513422702,0.863200446354431,4.64079456203265,39.2857142857143,84
"AE","Weekly",-0.955731764305224,19.9156283526121,-0.723027699478355,-0.0479890339076283,0.514365792124626,7.93760624001399,47.5770925110132,227
"AION","Daily",-0.314087357590951,15.4833169656894,-1.02557370211585,-0.0202855343132844,-1.63860603556469,150.533406281161,46.9874804381847,2556
"AION","Monthly",-9.55722959526751,52.0522874777592,-1.68279743990498,-0.183608253515296,-2.02187345976992,13.8102107474425,39.2857142857143,84
"AION","Weekly",-1.33172388891355,19.4080837870071,-1.00612226970961,-0.0686169692757138,-0.686120641000934,5.96312710347389,51.1627906976744,215
"AISCII","Daily",-0.88842848915034,15.5100615418927,-0.797829004093556,-0.0572807842670833,1.59565891097204,10.8252927573757,35.5670103092784,194
"AISCII","Monthly",-24.6221609850237,68.1839709288915,-0.95541684973596,-0.361113626114588,0.385335076871094,1.85517613355123,28.5714285714286,7
"AMB","Daily",-0.181215891193522,8.16756069630523,-1.12171966435487,-0.022187272054862,0.57156853391783,15.9822532470935,50.4303599374022,2556
"AMB","Monthly",-5.51414068917432,38.4463328155401,-1.31450597496589,-0.143424360279831,0.45341872804819,3.42475173730867,42.8571428571429,84
"AMB","Weekly",4.95752441130334,30.4581044266866,1.3021229008486,0.162765362606075,0.626575157168215,3.91677093039786,54.6875,64
"ANT","Daily",-0.00178087765221892,10.0273972078866,-0.0089789652374579,-0.000177601187556254,-3.54952462741459,77.273830881836,50.7433489827856,2556
"ANT","Monthly",-0.0541895628460787,37.588544994837,-0.0132129495117638,-0.00144165098312589,0.491063538845097,4.10772171550157,50,84
"ANT","Weekly",0.478109206777821,18.4540195765147,0.4335259968381,0.0259081337155554,-0.582810490569602,6.04793151566129,55.3571428571429,280
"ARDR","Daily",-0.113090454013041,5.94101176368741,-0.962378606204561,-0.0190355546346956,-0.0110488793582932,12.4989832601162,51.1737089201878,2556
"ARDR","Monthly",-3.4411809578254,31.6784714890156,-0.99559552453429,-0.108628377446135,0.236972275350536,3.44017517881355,47.6190476190476,84
"ARDR","Weekly",0.0446560513835465,16.2938884186192,0.0452001663315612,0.00274066264824285,0.0564156304797854,5.3220260956922,51.1029411764706,272
"ARGO","Daily",-0.582246127892959,9.42367621071716,-1.80874217079604,-0.0617854555773886,0.874846307481044,9.91940015336873,40.2567094515753,857
"ARGO","Monthly",-16.6328310534755,44.9243456760149,-2.02789303351498,-0.370240919554578,0.840643945898521,4.25871132472462,30,30
"ARK","Daily",-0.105203641177162,6.67059576007863,-0.797345546747822,-0.0157712511687144,-0.21305373668006,12.7900402160921,49.1784037558685,2556
"ARK","Monthly",-3.20119651010507,35.0523682539705,-0.83701764261382,-0.0913261120307458,0.620530633302146,3.65568040767679,45.2380952380952,84
