"","weekly_return_meme","weekly_return_conventional","weekly_market_return","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
"weekly_return_meme",1,0.607847164697241,0.607778228710425,-0.0545965468572479,0.0962296222514351,0.0719113363776379,-0.154902547184149,0.0722910716457643
"weekly_return_conventional",0.607847164697241,1,0.999987884358326,-0.00628126108740898,0.0346482093131881,-0.0375501444554741,-0.256930163314179,0.0358175080161071
"weekly_market_return",0.607778228710425,0.999987884358326,1,-0.00602854242280875,0.0347859784503807,-0.0375213798938656,-0.257188197511333,0.036190343843165
"UniqueAddresses",-0.0545965468572479,-0.00628126108740898,-0.00602854242280875,1,-0.0403912179955313,0.144884907930094,0.159018187998339,0.205260232223339
"Transactions",0.0962296222514351,0.0346482093131881,0.0347859784503807,-0.0403912179955313,1,0.365368170175868,-0.109839885343656,0.758861759924258
"Payments",0.0719113363776379,-0.0375501444554741,-0.0375213798938656,0.144884907930094,0.365368170175868,1,0.0329106675322155,0.710155370138821
"TransactionVolumeUSD",-0.154902547184149,-0.256930163314179,-0.257188197511333,0.159018187998339,-0.109839885343656,0.0329106675322155,1,0.0135197539572708
"PC_network",0.0722910716457643,0.0358175080161071,0.036190343843165,0.205260232223339,0.758861759924258,0.710155370138821,0.0135197539572708,1
