"Year","Number_of_Currencies","Mean_Close","Median_Close","Mean_Volume","Median_Volume"
"2018",130,81.7172646729094,0.583083987236023,126166089.724367,2932070
"2019",134,62.3173704418947,0.145746998488903,388941292.46895,1100064.5
"2020",140,88.8028263788067,0.109258003532887,816091282.30049,1379255.5
"2021",154,366.662069654722,0.307648494839668,1450013564.82666,3769768
"2022",157,208.132017370768,0.0958500020205975,718019961.796781,492533.5
"2023",161,207.740468798825,0.0520850010216236,398944216.265457,268694
"2024",172,459.908757340452,0.0365665014833212,930408916.953547,153803.5
"Full",191,217.364077465235,0.130142003297806,701173576.918544,1214285
