"Date","CMKT","CSMB","CMOM"
2018-01-12,0.638998305960745,-1.04646138815189,-1.84997441842317
2018-01-13,0.988603048576951,-1.22479565580095,-2.25406925079151
2018-01-14,1.0517161918549,-1.33087846416909,-2.25322666402406
2018-01-15,0.964344557592314,-1.19880508070516,-2.23955849356383
2018-01-16,0.649812835461849,-0.930379468602383,-1.98373982242884
2018-01-17,0.854166220015703,-1.08384790695175,-2.17086926678851
2018-01-18,0.886986941184425,-1.11376646773207,-2.195653868018
2018-01-19,0.858690847391853,-1.0420833284976,-2.22014235423396
2018-01-20,0.943839285405538,-1.13043449826428,-2.27373212517261
2018-01-21,0.757955106580158,-1.00909650958977,-2.08525090479242
2018-01-22,0.826310845355461,-1.07316216880339,-2.13513151669538
2018-01-23,-0.00587639455427079,-0.0493634146487947,-0.114504248073498
2018-01-24,0.045343540407799,-0.070860809432846,-0.117130773096995
2018-01-25,-0.00805257633082587,-0.0565300410459727,-0.0896382447708756
2018-01-26,-0.00741187744593255,-0.0279917032066939,-0.072875583355483
2018-01-27,0.0248342115337327,-0.0305718523628537,-0.116773969088849
2018-01-28,0.0360804947899449,-0.0743381199819897,-0.108190569780553
2018-01-29,-0.0417661212694283,-0.0409276708898491,-0.0706056705027947
2018-01-30,-0.109899686779049,-0.076751074687251,-0.0644584724627717
2018-01-31,0.0133806458316015,-0.0484687824771342,-0.0741194315390252
2018-02-01,-0.106641899572982,-0.0709093826754929,-0.0523848208413404
2018-02-02,-0.0413312662252168,-0.0472539960235205,-0.120948622809156
2018-02-03,0.0395210489085058,0.000956218801245121,-0.140383573606529
2018-02-04,-0.104193033004597,-0.049768225642626,-0.0798030250984813
2018-02-05,-0.174662191330806,-0.0793509799821248,-0.0581879202237834
2018-02-06,0.110210143510237,0.0180806514782429,-0.148512719275525
2018-02-07,-0.017751661090889,-0.0301816730376046,-0.0851636421430625
2018-02-08,0.0890360427292488,-0.0514767323643822,-0.102085099778962
2018-02-09,0.056037030887093,0.011254761062481,-0.158488734239069
2018-02-10,-0.0137275839192261,-0.0372654009081095,-0.122780487414314
2018-02-11,-0.0577941224883896,-0.0292429800420043,-0.0858334423977834
2018-02-12,0.0925013896906801,-0.0330158163729685,-0.12105604523001
2018-02-13,-0.0366180198222772,-0.0635790232785957,-0.0727888429926053
2018-02-14,0.100355505010211,-0.00702847943109687,-0.100936470758828
2018-02-15,0.0664735002650941,-0.0654052543126906,-0.119104064889673
2018-02-16,0.00911004781469671,-0.03098642446275,-0.131124188151936
2018-02-17,0.0803748806605441,-0.00344499545093606,-0.125786979685095
2018-02-18,-0.0514168043810158,-0.0632331547409191,-0.0694904489952452
2018-02-19,0.0608321476782208,-0.0382900088061476,-0.0965201565207048
2018-02-20,0.0136287907823402,-0.0572432282209211,-0.0788901263806291
2018-02-21,-0.0641719159053816,-0.0122385246334652,-0.116371992317747
2018-02-22,-0.0656902077830294,-0.0380023788076149,-0.105927114417528
2018-02-23,0.0304559858208298,-0.0339148008701661,-0.104491891822379
2018-02-24,-0.0477625433123267,-0.0102794503285663,-0.0974526975737147
2018-02-25,-0.0142260382102869,-0.0361203706717586,-0.111994635583844
