"Currency","Mean","Median","SD","Skewness","Kurtosis"
"BTC",0.000659030724088009,0.000729687286513254,0.0356657855345726,-0.977286625867976,17.0491340446867
"ETH",0.000478567491145509,0.000468253544089374,0.0457600339183578,-0.949508170585109,14.4323091279309
"XRP",-0.000147789288396557,-0.000689144775328553,0.0550483980516883,0.366304762995683,19.8106543464004
"Coin Market Return",0.000565559761197486,0.000830585093339408,0.0383294298726737,-3.108355551047,54.884893525136
