"date","BTC_Close","BTC_Volume","ETH_Close","ETH_Volume","XRP_Close","XRP_Volume","DOGE_Close","DOGE_Volume","SHIB_Close","SHIB_Volume","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB","ret_BTC","ret_ETH","ret_XRP","ret_DOGE","ret_SHIB","total_market_cap","market_return"
2021-04-17,60683.8203125,66138759198,2344.89501953125,32349808978,1.56005501747131,14507135285,0.284173011779785,31413404067,0.00000199999999495049,460833712,4013552578863138,75856905955299.5,22631929190.4994,8926841643.97474,921.667421673013,-0.0145429261014052,-0.0364513460539675,0.0016218158734553,-0.2526948270457,0.693147180559945,4089441043590194,-0.0149497457715254
2021-04-18,56216.18359375,97468872758,2237.13696289062,50696368718,1.40599799156189,22933939682,0.32047501206398,23464350388,0.00000199999999495049,142743623,5479328045639586,113414720343370,32245073131.4935,7519737973.66776,285.487245279214,-0.0764724310981193,-0.0470437263249706,-0.103973723338529,0.120221058758162,0,5592782530794346,-0.0758755474170749
2021-04-19,55724.265625,65344865159,2166.18872070312,34060654971,1.3150440454483,17637508685,0.407317996025085,30641432779,0.00000399999998990097,424418998,3641294623349924,73781806617941,23194100772.752,12480806994.8796,1697.67598771378,-0.00878897911779662,-0.0322276333255334,-0.0668772052045573,0.239789889546044,0.693147180559945,3715112104877330,-0.00925399633436112
2021-04-20,56473.03125,67849323955,2330.2109375,39433483315,1.38329899311066,15562116615,0.319499999284744,28130646191,0.00000199999999495049,526088540,3831656992002088,91888334124336.8,21527060244.2001,8987741437.9039,1052.17707734351,0.0133475005589661,0.0729895211406754,0.0506010613027256,-0.242836925809384,-0.693147180559945,3923575840929159,0.0147439066886571
2021-04-21,53906.08984375,54926612466,2364.75170898438,38899067643,1.29649794101715,12545052977,0.306924998760223,12723463706,0.000000999999997475243,290865031,2960878906405034,91986636686683,16264635354.6316,3905149082.1898,290.865030265636,-0.0465197455418273,0.0147142362064389,-0.0648044831223307,-0.0401538575513609,-0.693147180559945,3052885712876445,-0.0446747909556912
2021-04-22,51762.2734375,74798630778,2403.53515625,53575904724,1.15968203544617,14899537552,0.26096698641777,11879823706,0.00000199999999495049,194322190,3871747179081440,128771570532034,17278726035.51,3100241791.72921,388.644379018767,-0.0405818837468071,0.0162676045489728,-0.111520877716696,-0.162209503526052,0.693147180559945,4000539128581690,-0.038752381560636
2021-04-23,51093.65234375,86668667320,2363.58618164062,55413933925,1.16965997219086,20235915090,0.248509004712105,16165566164,0.000000999999997475243,151001682,4428218757144207,130975608495477,23669139881.4259,4017288758.02332,151.001681618757,-0.0130013026852043,-0.0167606011978235,0.00856722434180688,-0.0489148293553237,-0.693147180559945,4559222052068474,-0.0131092180644541
2021-04-24,50050.8671875,49014494781,2211.62573242188,31854226936,1.0487060546875,8586287312,0.27021199464798,11057578568,0.000000999999997475243,83694373,2453217968546243,70449627978063.6,9004491491.38086,2987890360.83603,83.694372788692,-0.0206204371801107,-0.0664521635333015,-0.109156009153026,0.0837277351340106,0,2523679588906242,-0.021900042373367
2021-04-25,49004.25390625,46117114240,2316.0595703125,31814355546,1.03225600719452,8573604939,0.251111000776291,6849914675,0.000000999999997475243,90558038,2259934775640498,73683942635637.9,8850155201.59535,1720088929.27145,90.5580377713629,-0.0211327232789664,0.0461394099656255,-0.0158103700764829,-0.0733117407366282,0,2333629288520357,-0.0190086355404131
2021-04-26,54021.75390625,58284039825,2534.48168945312,35208325408,1.36850595474243,15417459290,0.270673990249634,5118886527,0.000000999999997475243,102581471,3148606056088224,89234856062883.2,21098884845.364,1385549441.89818,102.581470741007,0.0974797068019545,0.0901218737980942,0.281972895498356,0.0750200331564939,0,3237863396585498,0.0972781190239841
