"week","weekly_return_BTC","weekly_return_ETH","weekly_return_XRP","weekly_return_DOGE","weekly_return_SHIB","weekly_market_return","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB","total_meme_cap","total_conventional_cap","weight_DOGE","weight_SHIB","weight_BTC","weight_ETH","weight_XRP","weekly_return_meme","weekly_return_conventional","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network","log_UniqueAddresses","log_Transactions","log_Payments","log_TransactionVolumeUSD"
2021-04-11,-0.0145429261014052,-0.0364513460539675,0.0016218158734553,-0.2526948270457,0.693147180559945,-0.0149497457715254,4013552578863138,75856905955299.5,22631929190.4994,8926841643.97474,921.667421673013,8926842565.64216,4089432116747628,0.999999896753257,0.000000103246743167662,0.981444969443621,0.018549496308947,0.00000553424743201235,-0.252694729390593,-0.0149492267967683,813572,-50179.25,-134235,157227.370893213,0.000203664933994295,13.6091909373251,10.8233768019726,11.8073547238793,11.9654546191133
2021-04-18,-0.0275196112586999,-0.00835896606936315,-0.0567377161272296,-0.00719663325770062,-0.0990210257942779,-0.0269745814309896,2453217968546243,70449627978063.6,9004491491.38086,2987890360.83603,83.694372788692,2987890444.5304,2523676601015798,0.999999971988808,0.0000000280111919571556,0.97208095821739,0.0279154737773085,0.00000356800530137518,-0.0071966358298113,-0.0269848370207137,782836.75,55917.75,70990,473360.203118664,0.214792865847629,13.5706807376642,10.9316550232959,11.1703083874253,13.0676140190041
2021-04-25,0.0206334476505781,0.0409548665704755,0.0648341808898631,0.0535099641276159,0.0990210257942779,0.0213658627283375,2477147096661407,84624321921713.8,13549585090.0207,3978342602.02904,184.790447533449,3978342786.81949,2561784968168211,0.999999953550899,0.0000000464491014061613,0.966961367734418,0.0330333431467606,0.00000528911882081548,0.0535099662415638,0.0213049658379182,677778,-44998,-18962,117155.586922697,-0.584351679316406,13.4265765550844,10.7143955462833,9.85024499114041,11.6712666687548
2021-05-02,0.00239030397035153,0.0401776121303818,-0.00786378961468003,0.0688731502196722,0.297063077382834,0.00432364432067427,3844766235272454,195946053292743,9921884729.56853,16264278934.9473,97888.5368248552,16264376823.4841,4040722210449926,0.99999398141485,0.00000601858515006329,0.951504715005971,0.0484928295209199,0.00000245547310921523,0.0688745236001792,0.00422269228435929,719741.75,61646.5,78081,-911423.779627457,0.478100221009677,13.4866491354817,11.0291879562699,11.265514835513,13.7227643459737
2021-05-09,-0.0327391352782737,-0.0100267982509359,-0.0071918019030839,-0.0322088978238403,-0.0000000000000000198254111540206,-0.031236060473246,2766381672580642,154337585036211,19794030681.7365,4996866202.51274,41725.971174652,4996907928.48392,2920739051647534,0.999991649641784,0.00000835035821588809,0.947151259890944,0.0528419630466995,0.00000677706235706715,-0.0322086288680058,-0.0315387976684996,745581.5,-52542.75,-97232,383215.310658641,-0.247719600079635,13.521921071048,10.8694014348836,11.4848654390022,12.8563548885223
2021-05-16,-0.0313878307555432,-0.0657753430233283,-0.0706247643295628,-0.0563616322393653,-0.0990210257942779,-0.0327915675036364,2153749637392362,96626104175754,7930343148.25167,1795127211.39212,9838.56969516,1795137049.96182,2250383671911264,0.999994519321132,0.00000548067886815064,0.957058862573052,0.0429376134309084,0.00000352399603998032,-0.0563618660418021,-0.0328644867349465,681993,-30995.75,-13607.5,970763.229202733,-0.354560532179737,13.4327761391329,10.3416376392616,9.51844987649299,13.7858389054342
2021-05-23,-0.011571344265011,-0.00101112857100711,-0.0122587892624955,-0.0173998741264258,-0.00000000000000000368186207146098,-0.0108979483079745,1565719761226339,76987673482645.5,4288930283.47203,748897140.068832,4017.47994185684,748901157.548774,1642711723639268,0.999994635500424,0.00000536449957562683,0.953131178584176,0.0468662105315026,0.00000261088432118225,-0.0173997807848084,-0.0110764287678771,537305,-31265.5,-98210.5,-185729.365764094,-0.787067314871388,13.1943230436004,10.3503025158216,11.4948785954289,12.1320512545118
2021-05-30,0.0038110405071595,0.0204629778245152,0.0149087804772115,0.0293248247308682,-0.0000000000000000237904933848248,0.00473256807087608,1278429653147626,80223842925654.9,3007280184.45964,1289235674.83865,4061.6574857453,1289239736.49614,1358656503353465,0.999996849571596,0.00000315042840425006,0.940951336847966,0.0590464497300419,0.00000221342199226737,0.0293247323451075,0.00479430285085826,516712.5,53015.5,16109.5,-1780232.83236693,0.115977054163271,13.1552438412806,10.8783584648387,9.68722651231261,14.3922552801387
2021-06-06,0.00000224455942541418,-0.0147522159686291,-0.0147551454928912,-0.0251567445972596,-0.0410974335080241,-0.00054150774009718,1348301728089946,61030652619531.1,2274513981.21024,501092598.981488,3613.2403458034,501096212.221833,1409334655223458,0.999992789328162,0.000007210671838413,0.956693800931309,0.0433045851766515,0.00000161389203960901,-0.0251568595403362,-0.000636715050081596,652225,-22708.25,22530.5,453592.332130991,0.42997110976399,13.3881464066148,10.0305276094552,10.0226696091062,13.0249563314
2021-06-13,0.000254348427951706,-0.0121859353282886,-0.0127336792264005,-0.0117929315208809,0.0410974335080242,-0.000219493693488271,1111474451658503,40881396564905.8,1682108511.96176,288289395.608583,6401.69322383728,288295797.301807,1152357530331920,0.999977794705009,0.0000222052949912953,0.96452222717576,0.0354763131136311,0.00000145971060863138,-0.0117917570747233,-0.000187005932568846,563014.75,-35799.75,-70697,439809.172568254,-0.555286679560995,13.2410628818637,10.48572412189,11.1661725629414,12.9940984868222
2021-06-20,-0.0144644519265109,-0.0249622777131662,-0.0304554219110816,-0.0229065212450114,-0.0190759109119351,-0.0148181647643693,1241919919794422,37751002671509.7,1513121301.2277,648544749.683725,3543.45690260283,648548293.140628,1279672435587232,0.999994536325297,0.00000546367470253212,0.970498297265045,0.0295005203063439,0.00000118242861153241,-0.0229065003158026,-0.0147741621574831,490112,-35386,-12464,468846.397707987,-0.414518509218932,13.1023912557448,10.4740998000374,9.43067999595766,13.0580326164602
2021-06-27,0.0106132362165359,0.0280510579975163,0.0127499323883531,0.000946382457180185,0.0359020642765059,0.0113969943004793,845356413212907,38808654910631.6,1260197797.28637,225962781.052448,3484.40110824624,225966265.453556,884166328321336,0.999984579994269,0.0000154200057307334,0.956105640007675,0.0438929346973811,0.00000142529494385854,0.00094692147399416,0.0113786364346553,492495.25,75350.5,7633,-831150.306347687,0.295727050836905,13.1072421253521,11.2299191109567,8.94036723330517,13.6305671346975
2021-07-04,-0.00481072444932474,-0.00755780821809073,-0.0104409541099348,-0.0201998222602928,-0.0168261533645708,-0.00491653419996413,770029133253498,37121731441853.4,1118561713.61747,270505921.922817,2461.70428978479,270508383.627107,807151983257065,0.999990899711659,0.00000910028834144464,0.954007608512877,0.0459910056741207,0.0000013858130027802,-0.0201997915589331,-0.00493707339696681,570637,1105.75,-8812,428940.53669872,0.275705146183945,13.2545103121091,7.00918307161225,9.08398318309966,12.9690759105319
2021-07-11,-0.00873157003732975,-0.0151596494411332,-0.0101838077022425,-0.0198833763300787,-0.0190759109119351,-0.00902144387601726,595817923949772,25376435523172,1046181643.5791,445419527.60487,1878.19138276168,445421405.796253,621195405654587,0.999995783338299,0.00000421666170130319,0.959147344822884,0.0408509710345194,0.00000168414259676741,-0.0198833729252702,-0.00899416576863743,557520.5,-46065.25,-9770,98884.7298607654,-0.247154224345848,13.2312563465952,10.7378358567442,9.18717409394434,11.5017202186336
2021-07-18,0.0119840417511326,0.0203299097636029,0.00656710644887983,0.0083433210399139,-0.022021522596089,0.0123771817059421,742935775379356,35153263176033,1199645699.31756,334626941.633761,1839.72809307275,334628781.361854,778090238201088,0.999994502182133,0.00000549781786726631,0.954819555501676,0.0451789027160986,0.00000154178222578796,0.00834315409953402,0.0123610905584149,497255,7774.25,12562,1339339.25291237,-0.144476589364037,13.1168602630084,8.95870089087133,9.43851126500442,14.1076877021109
2021-07-25,0.0276863696388324,0.0210180114703161,0.0291345057784384,0.0077464072781362,0,0.0274768189953422,1074074279865949,45656116933655.6,1953495316.99981,281059943.155193,1193.30599220825,281061136.461185,1119732350294922,0.999995754283188,0.00000424571681176934,0.95922412135637,0.0407741340344685,0.00000174460916172091,0.00774637438908459,0.027414475635511,507180.75,61123.25,52680,-1118626.83918836,0.321942898636753,13.1366246995966,11.0206639567632,10.8720101382131,13.9276133485875
2021-08-01,0.00971609852418011,0.0312895733115431,0.0125202660519263,0.0318493860370818,0.0410974335080242,0.0109725086139815,1783607118656079,104446090572652,3319935753.19057,1651359137.23731,5873.08342517189,1651365010.32073,1888056529164484,0.999996443497719,0.00000355650228051713,0.944678875396476,0.0553193662156252,0.00000175838789883041,0.0318494189277837,0.0109095344073001,612916,9905,-27276,-134206.746441863,0.372109576670388,13.3259848060772,9.20089591314818,10.2137991352357,11.8071442249675
2021-08-08,0.00792368425492222,0.00481395807887511,0.0643112091637782,0.0169379872318991,0.00000000000000000509796286817674,0.00777008249870095,1469959453283928,64854520363667.2,15502990453.8459,1371059474.04189,5067.28182720634,1371064541.32371,1534829476638049,0.999996304125973,0.00000369587402669904,0.957734703208714,0.0422551960011396,0.0000101007901462801,0.0169379246312321,0.00779285172439944,634434.75,-51775.5,26296.5,206643.450701022,-0.0939579187170725,13.360491300174,10.8546916573555,10.1772291566134,12.238754965967
2021-08-15,0.00538308018408131,-0.001732361727175,-0.00731802776943386,0.0111004251385821,-0.00000000000000000821338462095141,0.00508368182169662,1984839441314100,58437213119017.9,6028195455.13964,823797827.289131,2515.87012164804,823800343.159253,2043282682628572,0.999996946019576,0.00000305398042443117,0.97139737843846,0.0285996713111871,0.00000295025035272393,0.0111003912381011,0.00517954341273731,555440,-4267.5,1891.5,1646239.35222378,-0.267598623124218,13.2275176718,8.35901775645036,7.5456539853116,14.3140046715661
2021-08-22,-0.00000902598409390631,0.000808920521879201,-0.00858716129238151,-0.0147953389047747,-0.0190759109119351,0.0000245586036732493,1397048886713555,44479581090059.3,4187894761.69722,438385480.22808,1567.11478049489,438387047.342861,1441532655698376,0.999996425271253,0.00000357472874710474,0.96914133799954,0.0308557568323074,0.00000290516815220417,-0.0147953542066585,0.0000161874534707324,515182.25,49966,-7364.5,-265569.331036349,0.0334475424172705,13.1522779415978,10.8191180665144,8.90456221525499,12.4896349849095
