"Currency","Month","Close","Adjusted","Volume","Return","ExcessReturn","Rate","MarketCap_proxy"
"ACT",2018-01-01,0.500595986843109,0.500595986843109,748552110,0.251582654983939,0.250042178793462,0.00154047619047619,374722182.208942
"ACT",2018-02-01,0.363202005624771,0.363202005624771,263650290,-0.320840193465265,-0.322367177592249,0.00152698412698413,95758314.1115525
"ACT",2018-03-01,0.208718001842499,0.208718001842499,175538770,-0.553975101411675,-0.555983831570405,0.00200873015873016,36638101.32029
"ACT",2018-04-01,0.353193014860153,0.353193014860153,761009614,0.526030624412759,0.524058203777839,0.00197242063492063,268783279.906221
"ACT",2018-05-01,0.229506999254227,0.229506999254227,1045074892,-0.43108116493229,-0.433174220487846,0.00209305555555556,239852002.458855
"ACT",2018-06-01,0.108667001128197,0.108667001128197,429434900,-0.747645356314615,-0.749789007108265,0.00214365079365079,46665402.7627872
"ACT",2018-07-01,0.0591479986906052,0.0591479986906052,240796380,-0.608245415187064,-0.610562875504525,0.00231746031746032,14242623.9689425
"ACT",2018-08-01,0.0508739985525608,0.0508739985525608,128478740,-0.150690796275172,-0.1530749232593,0.00238412698412698,6536227.23279484
"ACT",2018-09-01,0.0332150012254715,0.0332150012254715,73515631,-0.426350341086142,-0.428767602990904,0.0024172619047619,2441821.77375631
"ACT",2018-10-01,0.0274250004440546,0.0274250004440546,25355575,-0.191546595659434,-0.194215643278482,0.00266904761904762,695376.65563426
"ACT",2018-11-01,0.010266000404954,0.010266000404954,19757826,-0.98261751876865,-0.985276447340078,0.00265892857142857,202833.849717011
"ACT",2018-12-01,0.00700399978086352,0.00700399978086352,11421947,-0.382356120447971,-0.385265247432098,0.00290912698412698,79999.3142850347
"ACT",2019-01-01,0.00658300006762147,0.00658300006762147,7236692,-0.0619908043783964,-0.0649415980291901,0.00295079365079365,47639.1439253558
"ACT",2019-02-01,0.012346999719739,0.012346999719739,19780679,0.628922517129018,0.626227477446479,0.00269503968253968,244232.038069247
"ACT",2019-03-01,0.0137219997122884,0.0137219997122884,33321804,0.105587267414628,0.10256821979558,0.00301904761904762,457241.78490093
"ACT",2019-04-01,0.0111800003796816,0.0111800003796816,48190982,-0.204873861613783,-0.207761163201084,0.00288730158730159,538775.197057229
"ACT",2019-05-01,0.0169479995965958,0.0169479995965958,74376443,0.416023307274107,0.413075688226487,0.00294761904761905,1260531.92596023
"ACT",2019-06-01,0.0227429997175932,0.0227429997175932,91486999,0.294107584363124,0.291453616109156,0.00265396825396825,2080688.79242045
"ACT",2019-07-01,0.0142930001020432,0.0142930001020432,55754730,-0.464487479258609,-0.467144026877656,0.00265654761904762,796902.361579391
"ACT",2019-08-01,0.00768700009211898,0.00768700009211898,28383826,-0.62023931171563,-0.622784946636265,0.00254563492063492,218186.473076689
"ACT",2019-09-01,0.00993499998003244,0.00993499998003244,34201011,0.256533271643229,0.254165017674976,0.00236825396825397,339787.043602089
"ACT",2019-10-01,0.00942800007760525,0.00942800007760525,30386813,-0.0523798806887174,-0.0545088489426856,0.00212896825396825,286486.875322176
"ACT",2019-11-01,0.00668800016865134,0.00668800016865134,19241426,-0.343369092305837,-0.345255005004249,0.0018859126984127,128686.660333092
"ACT",2019-12-01,0.00544199999421835,0.00544199999421835,16595814,-0.206168261700765,-0.208079769637273,0.00191150793650794,90314.4196920488
"ACT",2020-01-01,0.00634599989280105,0.00634599989280105,13929459,0.153678036969997,0.151794108398568,0.00188392857142857,88396.3453207766
"ACT",2020-02-01,0.0057459999807179,0.0057459999807179,23397984,-0.0993207190672834,-0.101132822241887,0.00181210317460317,134444.815612838
"ACT",2020-03-01,0.00440899981185794,0.00440899981185794,40828381,-0.26485609349783,-0.265329903021639,0.000473809523809524,180012.324147464
