"month","monthly_return_BTC","monthly_return_ETH","monthly_return_XRP","monthly_return_DOGE","monthly_return_SHIB","monthly_market_return"
2021-04-01,-0.00457811740846931,0.00937946031084135,0.00154907153568471,-0.00575227199214601,0.049510512897139,-0.00410783670143759
2021-05-01,-0.0140726648589539,-0.0006849230017399,-0.0135243463535727,-0.00114296527998236,0.0485186269248995,-0.013225196052763
2021-06-01,-0.00211198867178101,-0.0058996877236356,-0.0131047329458332,-0.00827113235960522,0.00000000000000000454883044811696,-0.00219657132911591
2021-07-01,0.00555534005345432,0.00351256924410697,0.00183780625263304,-0.00642367127484927,-0.0130795196163924,0.00549124395099397
2021-08-01,0.0040309098711831,0.009773454354137,0.0149215165538897,0.00936137717742889,0.00497260187653623,0.00436801383810618
2021-09-01,-0.00247539872515885,-0.00448253754932377,-0.00734836506318053,-0.0103311295329903,0.00000000000000000647630097698008,-0.00249519406186769
2021-10-01,0.0108601011896688,0.0115053531703755,0.0050259161268951,0.0102046856720162,0.072863950624711,0.0109481118971338
2021-11-01,-0.00243141975956928,0.00256795080936754,-0.00361759186491727,-0.00887830135819394,-0.0118181667168993,-0.00218304564526533
2021-12-01,-0.0067053320461932,-0.00739510715550287,-0.00592524564009537,-0.00743870125875326,-0.0114077439146357,-0.00675284926859959
2022-01-01,-0.0059697201773651,-0.0101524772206168,-0.00949935193482103,-0.00594383937767022,-0.0145801657900608,-0.00615564113640689
2022-02-01,0.00412371563487778,0.00294317381642441,0.00834160695744941,-0.00224755146930764,0.00762764632023488,0.00409315444886567
2022-03-01,0.00170574550877005,0.00377529515732596,0.00131425778864963,0.00111195495905061,0,0.00178786204059319
2022-04-01,-0.00628358010327652,-0.00613247125216927,-0.0109157701938015,-0.00258095692856864,-0.00874547594865725,-0.00627028576474213
2022-05-01,-0.00551064919757421,-0.0109833149912912,-0.0106609597738337,-0.0127673227112409,-0.0164782439720326,-0.00572509016221831
2022-06-01,-0.0158104733182343,-0.0199585419400921,-0.00804064095387037,-0.00872731090152795,-0.00607738724756448,-0.0159476732567692
2022-07-01,0.00532662560964238,0.0146634052849179,0.00444854459557683,0.00104976795442588,0.00588134249764305,0.00576594057795821
2022-08-01,-0.00489736391780025,-0.00255055074027282,-0.00479866323164831,-0.00345905184961337,0.00000000000000000808695231256618,-0.00478380012480947
2022-09-01,-0.00104356767549482,-0.00523238409960798,0.012689931105137,0.000175091034053517,-0.00290038015166915,-0.00119733096570996
2022-10-01,0.00171962434283143,0.00545629445649711,-0.00094554689880446,0.0233183858606841,0.00280681950161531,0.00186335286419458
2022-11-01,-0.00590461712622227,-0.00645869342592236,-0.0043638873342794,-0.00576241013505819,-0.00958940241505936,-0.00592873542430579
2022-12-01,-0.00118856065717442,-0.00256177396223497,-0.00594676669059389,-0.0135107447750515,-0.00379945398554824,-0.00122566025720794
2023-01-01,0.0108160305744821,0.00909436606161548,0.00576045191480139,0.010109670793155,0.0130795208388315,0.0107942394999904
2023-02-01,0.0000124539378871193,0.000433167015395421,-0.00266670857504851,-0.00624073912361783,0.0000000000000000109039761347114,0.0000249209410649367
2023-03-01,0.00668607783677091,0.00407308398904057,0.0114880548660327,-0.00151889204629496,-0.0028068195016153,0.00665120776902681
2023-04-01,0.000912448706040399,0.00098958366066208,-0.00436968517222841,0.00116250225441925,-0.00317700709589532,0.000974399461595398
2023-05-01,-0.00234138351042244,-0.0000480522688329079,0.00293893930582069,-0.00345813843451906,-0.00339872435564021,-0.00227493541142027
2023-06-01,0.00376803758066018,0.00103420459518097,-0.00291679627307402,-0.00250155337476243,-0.00392610245173319,0.00369603103487298
2023-07-01,-0.00134777999760608,-0.00131160797569522,0.0125058034995417,0.0050802155344792,-0.00000000000000000174735933896519,-0.00134851230738904
2023-08-01,-0.00386264504326901,-0.00388329837203143,-0.0100964232319327,-0.00641466687677902,-0.0000000000000000101086903907077,-0.00386690947564574
2023-09-01,0.00130634907450104,0.00051300854159144,0.000299228321425418,-0.000870402079902629,-0.00445104587945153,0.00128513053312245
2023-10-01,0.00810202895790814,0.00268935099151047,0.00491763126515576,0.0030376440071079,0.00430746375430794,0.00798725563275168
2023-11-01,0.00280624561957353,0.00407323090165144,0.000335699662306318,0.00667597085746998,-0.00000000000000000832667268468867,0.00287512745988004
2023-12-01,0.00367631053806216,0.00341079271841136,0.000453412024233256,0.00226044056980748,0.00719817834118845,0.00372003522804216
2024-01-01,0.000241357770754598,0.0000151711646972838,-0.00646943529272455,-0.00411192697698445,-0.00339872435564021,0.000275657657521174
2024-02-01,0.0125060316199152,0.0131467101835601,0.00527242724990022,0.0136999250370724,0.0126801632236057,0.0126328874921205
2024-03-01,0.00494346384372019,0.00282562335904216,0.00227789362263438,0.0203278889130004,0.0280334788634451,0.00491414041661613
2024-04-01,-0.00541550864763242,-0.00638133912132316,-0.00765835936483606,-0.0167037865972604,-0.0114314909929904,-0.00542394586105025
2024-05-01,0.00345475827260575,0.00715246737656276,0.0011242215746951,0.00570820495224538,0.0041236560786242,0.00367088196463925
2024-06-01,-0.00246617358876152,-0.00303412691625219,-0.00284192953413634,-0.00823403077766301,-0.0128554146004078,-0.00245122675838586
2024-07-01,0.000983779708518965,-0.00195222707115889,0.00876520778637468,-0.0006000787634202,-0.00195563360899411,0.00090830320840841
2024-08-01,-0.0029511366541378,-0.00810481410363252,-0.00312598685637485,-0.00599140426082838,-0.00430746375430792,-0.00306600216865518
2024-09-01,0.00237747125359679,0.00116849264397378,0.00255849526113251,0.00405145080315698,0.00837714833118473,0.00236629341568019
2024-10-01,0.00332946382068907,-0.00109994056672215,-0.00590284924480077,0.0110892420325888,0.00000000000000000321311944561781,0.00326247957425159
2024-11-01,0.0105816768151608,0.0129094346103208,0.0446550572445172,0.0320408093270393,0.0135155024807725,0.010738117656615
2024-12-01,-0.00102616047049013,-0.00342391335875087,0.00218127289932867,-0.00936143006852138,-0.00810691735178029,-0.00106855238758719
2025-01-01,0.00295909047590971,-0.000333409122622555,0.012190979760834,0.00130639963278194,-0.00322849983961126,0.00290922667620177
2025-02-01,-0.00691743680736256,-0.0138520118403895,-0.0123904586944247,-0.017398074380994,-0.0109064854080564,-0.00701255716900549
2025-03-01,-0.000705049110623978,-0.00660624290264111,-0.000848457891178405,-0.00618705822192386,-0.00497260187653623,-0.000777265044520253
2025-04-01,0.00440355968615033,-0.000547473236625294,0.00158324918375129,0.0011061186066613,0.00266808870109277,0.00435724831389083
2025-05-01,0.00338741497948395,0.0110818055372191,-0.000243740403918535,0.00358184396148774,0.00000000000000000968990178880697,0.003504611656526
2025-06-01,0.000786172892412732,-0.000566558776148809,0.000962046665568247,-0.00512457071599051,-0.00556846885276192,0.000776184503854844
2025-07-01,0.00249711944165475,0.012792931164499,0.00971127907760202,0.00773333127146481,0.00280681950161531,0.00265961499420828
2025-08-01,-0.002167192359391,0.00554486886893847,-0.00276533652883379,0.000600276093329759,0.00000000000000000912670332418183,-0.00190246415584493
2025-09-01,0.00174565708914692,-0.00190665990186634,0.000833322676465021,0.00285064916250153,0.00000000000000000721644966006352,0.00165470777839271
2025-10-01,-0.00129848315306315,-0.00241352467999821,-0.0040794744113022,-0.00717931319991972,-0.00588134249764304,-0.00131402062818551
2025-11-01,-0.00640853269927039,-0.00837782755853816,-0.00497406666968537,-0.00799645293265922,-0.00743811761922807,-0.00645770213114116
2025-12-01,-0.0010465054665978,-0.00027147299418796,-0.0051872572736316,-0.00720950833342969,-0.00430746375430794,-0.00104163150727611
2026-01-01,-0.00345481778299866,-0.00624133374889217,-0.00360400746817058,-0.00384971745807051,-0.0000000000000000103975101161565,-0.00350721418360387
