"Currency","Week","Close","Adjusted","Volume","Return","ExcessReturn","Rate","MarketCap_proxy"
"ACT",2017-12-31,1.02704000473022,1.02704000473022,93883510,0.970219454881298,0.96996548662733,0.000253968253968254,96422120.5544897
"ACT",2018-01-07,0.904148995876312,0.904148995876312,274874900,-0.127441996910794,-0.127802711196508,0.000360714285714286,248527864.826602
"ACT",2018-01-14,0.703679978847504,0.703679978847504,141547900,-0.250670487951783,-0.251032392713688,0.000361904761904762,99604423.2779086
"ACT",2018-01-21,0.596463024616241,0.596463024616241,178322300,-0.165306424921674,-0.16565444079469,0.000348015873015873,106362658.414525
"ACT",2018-01-28,0.417131006717682,0.417131006717682,99411900,-0.357616915134918,-0.357999851642854,0.000382936507936508,41467785.9267175
"ACT",2018-02-04,0.40227198600769,0.40227198600769,69030690,-0.036271895300768,-0.0366520540309267,0.00038015873015873,27769112.7617812
"ACT",2018-02-11,0.491528004407883,0.491528004407883,60584410,0.200390473446967,0.200020632177126,0.00036984126984127,29778934.145529
"ACT",2018-02-18,0.355417996644974,0.355417996644974,68374080,-0.324224363239685,-0.324605712446034,0.000381349206349206,24301378.5360432
"ACT",2018-02-25,0.367549985647202,0.367549985647202,44575700,0.0335647726136803,0.0331576297565374,0.000407142857142857,16383797.895214
"ACT",2018-03-04,0.218565002083778,0.218565002083778,38434470,-0.519775862102343,-0.520207211308693,0.000431349206349206,8400430.0156389
"ACT",2018-03-11,0.178292006254196,0.178292006254196,41044880,-0.203660771926622,-0.204122676688526,0.000461904761904762,7317974.00166272
"ACT",2018-03-18,0.20533399283886,0.20533399283886,38423610,0.141215195996606,0.140741783298193,0.000473412698412698,7889673.26058315
"ACT",2018-03-25,0.208718001842499,0.208718001842499,39232820,0.0163461806570338,0.0158826885935417,0.000463492063492064,8188595.79704643
"ACT",2018-04-01,0.187536001205444,0.187536001205444,37384880,-0.107013233986226,-0.1074789085894,0.000465674603174603,7011010.90074538
"ACT",2018-04-08,0.217653006315231,0.217653006315231,94984430,0.148931247107342,0.148472913774008,0.000458333333333333,20673646.7426386
"ACT",2018-04-15,0.259867995977402,0.259867995977402,169043500,0.177271713793104,0.176811396332786,0.00046031746031746,43928995.578006
"ACT",2018-04-22,0.341084986925125,0.341084986925125,347381000,0.271957880441607,0.271499547108274,0.000458333333333333,118486443.843037
"ACT",2018-04-29,0.424762010574341,0.424762010574341,427747896,0.21939736220992,0.218934663797221,0.000462698412698413,181691056.323904
"ACT",2018-05-06,0.294692993164062,0.294692993164062,304812600,-0.365594923664987,-0.366062383982447,0.000467460317460317,89826137.44812
"ACT",2018-05-13,0.251985013484955,0.251985013484955,174208200,-0.156564497850412,-0.15703354546946,0.000469047619047619,43897855.6261897
"ACT",2018-05-20,0.199590995907784,0.199590995907784,140812400,-0.233099363267796,-0.23357634739478,0.000476984126984127,28104887.1521652
"ACT",2018-05-27,0.232692003250122,0.232692003250122,150295800,0.153445452478565,0.152960730256343,0.000484722222222222,34972630.7820797
"ACT",2018-06-03,0.188360005617142,0.188360005617142,147572000,-0.211360649459302,-0.21185588755454,0.000495238095238095,27796662.7489329
"ACT",2018-06-10,0.142207995057106,0.142207995057106,90272100,-0.281064315377754,-0.281567489980928,0.000503174603174603,12837414.3505946
"ACT",2018-06-17,0.105816997587681,0.105816997587681,80662500,-0.295579575570228,-0.296090289855942,0.000510714285714286,8535463.56791632
"ACT",2018-06-24,0.108667001128197,0.108667001128197,70342100,0.0265770063120229,0.0260805777405943,0.000496428571428571,7643865.06005975
"ACT",2018-07-01,0.112873002886772,0.112873002886772,81671390,0.0379751478794717,0.0374568939112178,0.000518253968253968,9218495.03923668
"ACT",2018-07-08,0.0846790000796318,0.0846790000796318,49496180,-0.287395680466756,-0.287916712212788,0.000521031746031746,4191287.03016147
"ACT",2018-07-15,0.0865830034017563,0.0865830034017563,49297260,0.0222358927637279,0.0217116864145215,0.000524206349206349,4268304.83027727
"ACT",2018-07-22,0.0727469995617867,0.0727469995617867,45584780,-0.17411586867302,-0.174641662323814,0.000525793650793651,3316155.97068414
"ACT",2018-07-29,0.0471949987113476,0.0471949987113476,32981920,-0.43269973459207,-0.433230290147626,0.000530555555555556,1556581.67189777
"ACT",2018-08-05,0.0392710007727146,0.0392710007727146,29979600,-0.183801574798544,-0.184335701782671,0.000534126984126984,1177328.89476567
"ACT",2018-08-26,0.0493649989366531,0.0493649989366531,32492300,0.315722754114601,0.315178706495554,0.000544047619047619,1603982.35494941
"ACT",2020-08-23,0.0154079999774694,0.0154079999774694,107774093,0.516227002797382,0.516203590098969,0.0000234126984126984,1660583.22251578
"ACT",2021-04-04,0.0260499995201826,0.0260499995201826,51973726,0.258551980944342,0.258546425388786,0.00000555555555555555,1353915.5373621
"ACT",2021-04-11,0.0302620008587837,0.0302620008587837,40836566,0.149875078627383,0.149869126246431,0.00000595238095238095,1235796.19536178
"ACT",2021-05-09,0.0186110008507967,0.0186110008507967,76668810,-0.228299145976024,-0.228301923753802,0.00000277777777777778,1426883.28813957
"ADA",2017-12-31,1.02715003490448,1.02715003490448,2346255040,0.343340166074641,0.343086197820672,0.000253968253968254,2409955946.23081
"ADA",2018-01-07,0.884123980998993,0.884123980998993,1844503008,-0.149945986917999,-0.150306701203713,0.000360714285714286,1630769342.39758
"ADA",2018-01-14,0.707509994506836,0.707509994506836,7088988032,-0.222845546873349,-0.223207451635254,0.000361904761904762,5015529883.57935
"ADA",2018-01-21,0.616832971572876,0.616832971572876,4232696064,-0.137153479251186,-0.137501495124202,0.000348015873015873,2610866490.92194
"ADA",2018-01-28,0.438836008310318,0.438836008310318,4867923952,-0.340472490772311,-0.340855427280247,0.000382936507936508,2136220315.85387
"ADA",2018-02-04,0.405871987342834,0.405871987342834,5190913984,-0.0780879781332225,-0.0784681368633813,0.00038015873015873,2106846574.81179
"ADA",2018-02-11,0.419883012771606,0.419883012771606,1981864032,0.0339383236853488,0.0335684824155075,0.00036984126984127,832151040.659843
"ADA",2018-02-18,0.322966009378433,0.322966009378433,1509282976,-0.262429047895014,-0.262810397101363,0.000381349206349206,487447099.781525
"ADA",2018-02-25,0.297105997800827,0.297105997800827,1078386000,-0.0834581134795347,-0.0838652563366775,0.000407142857142857,320394948.544443
"ADA",2018-03-04,0.209873005747795,0.209873005747795,1142004984,-0.347586356825645,-0.348017706031995,0.000431349206349206,239676018.571043
"ADA",2018-03-11,0.154762998223305,0.154762998223305,971421592,-0.304607710239185,-0.30506961500109,0.000461904761904762,150340118.116776
"ADA",2018-03-18,0.1892009973526,0.1892009973526,1502072000,0.200915025005252,0.200441612306839,0.000473412698412698,284193520.495415
"ADA",2018-03-25,0.155919000506401,0.155919000506401,681080200,-0.193473283142369,-0.193936775205861,0.000463492063492064,106193344.0487
"ADA",2018-04-01,0.148793995380402,0.148793995380402,727757900,-0.0467738769227461,-0.0472395515259207,0.000465674603174603,108286005.610651
"ADA",2018-04-08,0.200853005051613,0.200853005051613,1123521600,0.300010554405898,0.299552221072565,0.000458333333333333,225662689.600396
"ADA",2018-04-15,0.290580004453659,0.290580004453659,2435563984,0.369305618605654,0.368845301145336,0.00046031746031746,707726193.317891
"ADA",2018-04-22,0.357874006032944,0.357874006032944,2063434024,0.20830204503038,0.207843711697047,0.000458333333333333,738449400.353558
"ADA",2018-04-29,0.366338014602661,0.366338014602661,2220502992,0.0233754583686808,0.0229127599559824,0.000462698412698413,813454657.508548
"ADA",2018-05-06,0.270931988954544,0.270931988954544,1367338992,-0.30168861825326,-0.30215607857072,0.000467460317460317,370455872.677661
"ADA",2018-05-13,0.243270993232727,0.243270993232727,767996808,-0.107691805658557,-0.108160853277605,0.000469047619047619,186831346.281724
"ADA",2018-05-20,0.196566998958588,0.196566998958588,660694000,-0.213172685640804,-0.213649669767788,0.000476984126984127,129870636.809945
"ADA",2018-05-27,0.227742001414299,0.227742001414299,1010942200,0.147210080681889,0.146725358459666,0.000484722222222222,230233999.942175
"ADA",2018-06-03,0.202090993523598,0.202090993523598,634584704,-0.119495356536993,-0.119990594632231,0.000495238095238095,128243853.306238
"ADA",2018-06-10,0.162962004542351,0.162962004542351,725530104,-0.215200986293983,-0.215704160897158,0.000503174603174603,118233840.10366
"ADA",2018-06-17,0.137868002057076,0.137868002057076,403758100,-0.16722035208749,-0.167731066373204,0.000510714285714286,55665322.5613611
"ADA",2018-06-24,0.137670993804932,0.137670993804932,413440804,-0.00142998478381468,-0.00192641335524327,0.000496428571428571,56918806.3661901
"ADA",2018-07-01,0.150372996926308,0.150372996926308,656453492,0.0882521178867859,0.0877338639185319,0.000518253968253968,98712878.9347802
"ADA",2018-07-08,0.137091994285583,0.137091994285583,388833896,-0.09246666206835,-0.0929876938143817,0.000521031746031746,53306014.248473
"ADA",2018-07-15,0.16363699734211,0.16363699734211,1156173012,0.176998352110146,0.17647414576094,0.000524206349206349,189192680.091663
"ADA",2018-07-22,0.163379997014999,0.163379997014999,841010400,-0.00157178608118799,-0.00209757973198163,0.000525793650793651,137404276.641583
"ADA",2018-07-29,0.12754699587822,0.12754699587822,490981400,-0.247593865836146,-0.248124421391702,0.000530555555555556,62623202.6020827
"ADA",2018-08-05,0.112438999116421,0.112438999116421,470926400,-0.126074047298954,-0.126608174283081,0.000534126984126984,52950493.0734993
"ADA",2018-08-12,0.0997850000858307,0.0997850000858307,550258000,-0.119392972228222,-0.119933845244094,0.000540873015873016,54907494.577229
